stt,ma_tp,tien_te,ten_dn,menh_gia,ky_han,ky_han_con_lai,ngay_phat_hanh,ngay_dao_han,pt_tra_lai,ky_han_tra_lai,kl_phat_hanh,kl_con_luu_hanh,to_chuc_luu_ky,lai_suat,doi_tuong_chao_ban,dv_xhtn,kq_xhtn,ngay_hieu_luc,tai_lieu,tc_ben_vung,dv_danh_gia,tinh_trang,menh_gia_num,kl_phat_hanh_num,kl_con_luu_hanh_num,lai_suat_num
1691,GELEXIMCO.BOND.2020.10,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,10/07/2020,10/07/2022,Định kỳ - Cuối kỳ,1 Năm,326,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,326.0,0.0,9.5
1692,GELEXIMCO.BOND.2020.11,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,13/07/2020,13/07/2022,Định kỳ - Cuối kỳ,1 Năm,431,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,431.0,0.0,9.5
1693,GELEXIMCO.BOND.2020.12,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,15/07/2020,15/07/2022,Định kỳ - Cuối kỳ,1 Năm,277,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,277.0,0.0,9.5
1694,GELEXIMCO.BOND.2020.13,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,18/07/2020,18/07/2022,Định kỳ - Cuối kỳ,1 Năm,283,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,283.0,0.0,9.5
1695,GELEXIMCO.BOND.2020.14,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,22/07/2020,22/07/2022,Định kỳ - Cuối kỳ,1 Năm,302,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,302.0,0.0,9.5
1696,GELEXIMCO.BOND.2020.15,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,30/07/2020,30/07/2022,Định kỳ - Cuối kỳ,1 Năm,370,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,370.0,0.0,9.5
1697,GELEXIMCO.BOND.2020.16,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,30/07/2020,30/07/2022,Định kỳ - Cuối kỳ,1 Năm,708,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,708.0,0.0,9.5
1698,GELEXIMCO.BOND.2020.17,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,04/08/2020,04/08/2022,Định kỳ - Cuối kỳ,1 Năm,459,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,459.0,0.0,9.5
1699,GELEXIMCO.BOND.2020.18,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,08/08/2020,08/08/2022,Định kỳ - Cuối kỳ,1 Năm,421,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,421.0,0.0,9.5
1700,GELEXIMCO.BOND.2020.19,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,12/08/2020,12/08/2022,Định kỳ - Cuối kỳ,1 Năm,330,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,330.0,0.0,9.5
1701,GELEXIMCO.BOND.2020.20,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,14/08/2020,14/08/2022,Định kỳ - Cuối kỳ,1 Năm,523,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,523.0,0.0,9.5
1702,GELEXIMCO.BOND.2020.2022,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,30/09/2020,24/08/2022,Định kỳ - Cuối kỳ,1 Năm,"9,986",0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,9986.0,0.0,9.5
1703,GELEXIMCO.BOND.2020.2022.01,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,24/08/2020,24/08/2022,Định kỳ - Cuối kỳ,1 Năm,333,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,333.0,0.0,9.5
1704,GELEXIMCO.BOND.2020.2022.02,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,24/08/2020,24/08/2022,Định kỳ - Cuối kỳ,1 Năm,324,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,324.0,0.0,9.5
1705,GELEXIMCO.BOND.2020.2022.03,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,24/08/2020,24/08/2022,Định kỳ - Cuối kỳ,1 Năm,237,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,237.0,0.0,9.5
1706,GELEXIMCO.BOND.2020.2022.04,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,24/08/2020,24/08/2022,Định kỳ - Cuối kỳ,1 Năm,333,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,333.0,0.0,9.5
1707,GELEXIMCO.BOND.2020.2022.05,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,24/08/2020,24/08/2022,Định kỳ - Cuối kỳ,1 Năm,476,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,476.0,0.0,9.5
1708,GELEXIMCO.BOND.2020.2022.06,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,24/08/2020,24/08/2022,Định kỳ - Cuối kỳ,1 Năm,325,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,325.0,0.0,9.5
1709,GELEXIMCO.BOND.2020.2022.07,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,24/08/2020,24/08/2022,Định kỳ - Cuối kỳ,1 Năm,472,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,472.0,0.0,9.5
1710,GELEXIMCO.BOND.2020.2022.08,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,24/08/2020,24/08/2022,Định kỳ - Cuối kỳ,1 Năm,304,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,304.0,0.0,9.5
1711,GELEXIMCO.BOND.2020.2022.09,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,25/08/2020,25/08/2022,Định kỳ - Cuối kỳ,1 Năm,344,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,344.0,0.0,9.5
1712,GELEXIMCO.BOND.2020.2022.10,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,25/08/2020,25/08/2022,Định kỳ - Cuối kỳ,1 Năm,403,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,403.0,0.0,9.5
1713,GELEXIMCO.BOND.2020.2022.11,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,25/08/2020,25/08/2022,Định kỳ - Cuối kỳ,1 Năm,536,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,536.0,0.0,9.5
1714,GELEXIMCO.BOND.2020.2022.12,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,25/08/2020,25/08/2022,Định kỳ - Cuối kỳ,1 Năm,397,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,397.0,0.0,9.5
1715,GELEXIMCO.BOND.2020.2022.13,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,26/08/2020,26/08/2022,Định kỳ - Cuối kỳ,1 Năm,602,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,602.0,0.0,9.5
1716,GELEXIMCO.BOND.2020.2022.14,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,26/08/2020,26/08/2022,Định kỳ - Cuối kỳ,1 Năm,390,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,390.0,0.0,9.5
1717,GELEXIMCO.BOND.2020.2022.15,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,26/08/2020,26/08/2022,Định kỳ - Cuối kỳ,1 Năm,368,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,368.0,0.0,9.5
1718,GELEXIMCO.BOND.2020.2022.16,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,26/08/2020,26/08/2022,Định kỳ - Cuối kỳ,1 Năm,"1,577",0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,1577.0,0.0,9.5
1719,GELEXIMCO.BOND.2020.2022.17,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,27/08/2020,27/08/2022,Định kỳ - Cuối kỳ,1 Năm,410,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,410.0,0.0,9.5
1720,GELEXIMCO.BOND.2020.2022.18,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,27/08/2020,27/08/2022,Định kỳ - Cuối kỳ,1 Năm,430,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,430.0,0.0,9.5
1721,GELEXIMCO.BOND.2020.2022.19,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,27/08/2020,27/08/2022,Định kỳ - Cuối kỳ,1 Năm,752,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,752.0,0.0,9.5
1722,GELEXIMCO.BOND.2020.2022.20,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,28/08/2020,28/08/2022,Định kỳ - Cuối kỳ,1 Năm,410,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,410.0,0.0,9.5
1723,GELEXIMCO.BOND.2020.2022.21,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,28/08/2020,28/08/2022,Định kỳ - Cuối kỳ,1 Năm,300,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,300.0,0.0,9.5
1724,GELEXIMCO.BOND.2020.2022.22,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,28/08/2020,28/08/2022,Định kỳ - Cuối kỳ,1 Năm,32,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,32.0,0.0,9.5
1725,GELEXIMCO.BOND.2020.2022.23,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,28/08/2020,28/08/2022,Định kỳ - Cuối kỳ,1 Năm,46,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,46.0,0.0,9.5
1726,GELEXIMCO.BOND.2020.2022.24,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,29/08/2020,29/08/2022,Định kỳ - Cuối kỳ,1 Năm,81,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,81.0,0.0,9.5
1727,GELEXIMCO.BOND.2020.2022.25,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,31/08/2020,31/08/2022,Định kỳ - Cuối kỳ,1 Năm,102,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,102.0,0.0,9.5
1728,GELEXIMCO.BOND.2020.2023,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",3 Năm,,21/10/2020,21/10/2023,Định kỳ - Cuối kỳ,1 Năm,"14,973",0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,14973.0,0.0,9.5
1729,GELEXIMCO.BOND.2020.21,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,17/08/2021,17/08/2022,Định kỳ - Cuối kỳ,1 Năm,399,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,399.0,0.0,9.5
1730,GELEXIMCO.BOND.2020.22,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,19/08/2020,19/08/2022,Định kỳ - Cuối kỳ,1 Năm,543,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,543.0,0.0,9.5
1731,GELEXIMCO.BOND.2020.23,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,21/08/2020,21/08/2022,Định kỳ - Cuối kỳ,1 Năm,273,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,273.0,0.0,9.5
1732,GELEXIMCO.BOND.2020.24,VNĐ,Tập đoàn Geleximco - Công ty CP,"100,000,000",2 Năm,,22/08/2020,22/08/2022,Định kỳ - Cuối kỳ,1 Năm,89,0,Công ty Cổ phần Chứng khoán An Bình,9.5,,,,,,,,Hết lưu hành,100000000.0,89.0,0.0,9.5
1733,GEX_BOND_A_2020,VNĐ,Công ty cổ phần Tập đoàn Gelex,"1,000,000,000",3 Năm,,29/05/2020,29/05/2023,Định kỳ - Cuối kỳ,6 Tháng,500,0,Ngân hàng TNHH MTV Shinhan Việt Nam,6.5,,,,,,,,Hết lưu hành,1000000000.0,500.0,0.0,6.5
1734,GEX_BOND_B_2020,VNĐ,Công ty cổ phần Tập đoàn Gelex,"1,000,000,000",3 Năm,,29/05/2020,29/05/2023,Định kỳ - Cuối kỳ,6 Tháng,200,0,Ngân hàng TNHH MTV Shinhan Việt Nam,9,,,,,,,,Hết lưu hành,1000000000.0,200.0,0.0,9.0
1735,GEX11801A,VNĐ,Công ty cổ phần Tập đoàn Gelex,"1,000,000,000",2 Năm,,16/05/2018,16/05/2020,Định kỳ - Cuối kỳ,6 Tháng,300,0,Ngân hàng TNHH MTV Shinhan Việt Nam,6.5,,,,,,,,Hết lưu hành,1000000000.0,300.0,0.0,6.5
1736,GEX11801B,VNĐ,Công ty cổ phần Tập đoàn Gelex,"1,000,000,000",2 Năm,,16/05/2018,16/05/2020,Định kỳ - Cuối kỳ,6 Tháng,100,0,Ngân hàng TNHH MTV Shinhan Việt Nam,9.5,,,,,,,,Hết lưu hành,1000000000.0,100.0,0.0,9.5
1737,GEX202001,VNĐ,Công ty cổ phần Tập đoàn Gelex,"100,000",3 Năm,,09/07/2020,09/07/2023,Định kỳ - Cuối kỳ,6 Tháng,"1,000,000",,Công ty cổ phần Chứng khoán VNDirect,10,,,,,,,,Hết lưu hành,100000.0,1000000.0,,10.0
1738,GEX202002,VNĐ,Công ty cổ phần Tập đoàn Gelex,"100,000",3 Năm,,10/07/2020,10/07/2023,Định kỳ - Cuối kỳ,6 Tháng,"1,000,000",,Công ty cổ phần Chứng khoán VNDirect,10,,,,,,,,Hết lưu hành,100000.0,1000000.0,,10.0
1739,GEX202003,VNĐ,Công ty cổ phần Tập đoàn Gelex,"100,000",3 Năm,,13/07/2020,13/07/2023,Định kỳ - Cuối kỳ,6 Tháng,"1,500,000",,Công ty cổ phần Chứng khoán VNDirect,10,,,,,,,,Hết lưu hành,100000.0,1500000.0,,10.0
1740,GEX202004,VNĐ,Công ty cổ phần Tập đoàn Gelex,"100,000",3 Năm,,05/08/2020,05/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"1,000,000",,Công ty cổ phần Chứng khoán VNDirect,10,,,,,,,,Hết lưu hành,100000.0,1000000.0,,10.0
1741,GEX202005,VNĐ,Công ty cổ phần Tập đoàn Gelex,"100,000",3 Năm,,06/08/2020,06/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",,Công ty cổ phần Chứng khoán VNDirect,10,,,,,,,,Hết lưu hành,100000.0,500000.0,,10.0
1742,GEXCH2126001,VNĐ,CT TNHH MTV ĐẦU TƯ GEX,"100,000,000",5 Năm,,11/06/2021,11/06/2026,Định kỳ - Cuối kỳ,1 Năm,"10,000",,Công ty cổ phần Chứng khoán VIX,9,,,,,,,,Hết lưu hành,100000000.0,10000.0,,9.0
1743,GEXH2124001,VNĐ,Công ty cổ phần Tập đoàn Gelex,"100,000,000",3 Năm,,19/05/2021,19/05/2024,Định kỳ - Cuối kỳ,6 Tháng,"3,000",,Công ty cổ phần Chứng khoán VIX,8.5,,,,,,,,Hết lưu hành,100000000.0,3000.0,,8.5
1744,GEXH2124002,VNĐ,Công ty cổ phần Tập đoàn Gelex,"100,000,000",3 Năm,,23/12/2021,23/12/2024,Định kỳ - Cuối kỳ,3 Tháng,"10,000",0,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,8.5,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,100000000.0,10000.0,0.0,8.5
1745,GEXH2124003,VNĐ,Công ty cổ phần Tập đoàn Gelex,"100,000,000",3 Năm,,31/12/2021,31/12/2024,Định kỳ - Cuối kỳ,6 Tháng,"5,000",,Ngân hàng Thương mại Cổ phần Tiên Phong,8.5,,,,,,,,Hết lưu hành,100000000.0,5000.0,,8.5
1746,GFVCH2128001,VNĐ,Công ty cổ phần GreenFeed Việt Nam,"1,000,000,000",84 Tháng,694 ngày,03/11/2021,15/06/2028,Định kỳ - Cuối kỳ,6 Tháng,"1,000",400,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,6.53,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Lưu hành một phần,1000000000.0,1000.0,400.0,6.53
1747,GHICB2124001,VNĐ,Công ty Cổ phần Đầu tư Golden Hill,"100,000",1070 Ngày,,15/04/2021,20/03/2024,Định kỳ - Cuối kỳ,3 Tháng,"57,600,000",0,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,9.7,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,100000.0,57600000.0,0.0,9.7
1748,GHVCH2122001,VNĐ,Công ty Cổ phần GreenHill Village,"100,000,000",18 Tháng,,24/05/2021,24/11/2022,Định kỳ - Cuối kỳ,6 Tháng,"1,800",0,Công ty cổ phần Chứng khoán VietinBank (Tên cũ: Công ty cổ phần Chứng khoán Ngân hàng Công thương Việt Nam),11,,,,,,,,Hết lưu hành,100000000.0,1800.0,0.0,11.0
1749,GHVCH2224001,VNĐ,Công ty Cổ phần GreenHill Village,"100,000,000",24 Tháng,,24/01/2022,24/01/2024,Định kỳ - Cuối kỳ,6 Tháng,"2,053",0,Công ty cổ phần Chứng khoán VietinBank (Tên cũ: Công ty cổ phần Chứng khoán Ngân hàng Công thương Việt Nam),11,,,,,,,,Hết lưu hành,100000000.0,2053.0,0.0,11.0
1750,GIACU.BOND.01.2019.700(01),VNĐ,CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ PHÁT TRIỂN GIA CƯ,"1,000,000,000",2 Năm,,20/12/2019,20/12/2021,Định kỳ - Cuối kỳ,6 Tháng,350,,Công ty cổ phần chứng khoán Bảo Minh,0,,,,,,,,Hết lưu hành,1000000000.0,350.0,,0.0
1751,GIACU.BOND.01.2019.700(02),VNĐ,CÔNG TY TNHH MỘT THÀNH VIÊN ĐẦU TƯ PHÁT TRIỂN GIA CƯ,"1,000,000,000",2 Năm,,27/12/2019,27/12/2021,Định kỳ - Cuối kỳ,6 Tháng,350,,Công ty cổ phần chứng khoán Bảo Minh,0,,,,,,,,Hết lưu hành,1000000000.0,350.0,,0.0
1752,GICH2023001,VNĐ,Công ty Cổ phần Hạ tầng Gelex,"100,000,000",3 Năm,,26/11/2020,26/11/2023,Định kỳ - Cuối kỳ,6 Tháng,"10,000",,Công ty cổ phần Chứng khoán VIX,9,,,,,,,,Hết lưu hành,100000000.0,10000.0,,9.0
1753,GINCH2224001,VNĐ,Công ty CP Đầu tư hội nhập Toàn Cầu,"100,000,000",30 Tháng,,14/01/2022,14/07/2024,Định kỳ - Cuối kỳ,3 Tháng,"1,900",,Công ty cổ phần Chứng khoán Dầu khí,12.5,,,,,,,,Hết lưu hành,100000000.0,1900.0,,12.5
1754,GISH_BOND_2017,VNĐ,Công ty TNHH Khách sạn Grand Imperial Sài Gòn,"1,000,000,000",5 Năm,,29/12/2017,29/12/2022,Định kỳ - Cuối kỳ,3 Tháng,70,0,Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam,8.5,,,,,,,,Hết lưu hành,1000000000.0,70.0,0.0,8.5
1755,GKCCH2124001,VNĐ,CTCP Đầu tư thương mại dịch vụ Gia Khang,"100,000",60 Tháng,,02/02/2021,02/02/2026,Định kỳ - Cuối kỳ,3 Tháng,"15,000,000",0,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,11,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,100000.0,15000000.0,0.0,11.0
1756,GKCCH2124002,VNĐ,CTCP Đầu tư thương mại dịch vụ Gia Khang,"100,000",60 Tháng,,26/04/2021,26/04/2026,Định kỳ - Cuối kỳ,3 Tháng,"10,000,000",0,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,11,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,100000.0,10000000.0,0.0,11.0
1757,GKMH2124001,VNĐ,Công ty Cổ phần Khang Minh Group,"10,000,000",60 Tháng,60 ngày,20/09/2021,20/09/2026,Khác,,"10,000","4,415",Công ty cổ phần Chứng khoán APG,12.6,,,,,,,,Lưu hành một phần,10000000.0,10000.0,4415.0,12.6
1758,GLJCH2125001,VNĐ,CTCP GALACTIC GROUP,"10,000,000",48 Tháng,,10/06/2021,10/06/2025,Định kỳ - Cuối kỳ,3 Tháng,"77,386",,Công ty cổ phần Chứng khoán Dầu khí,12.5,,,,,,,,Hết lưu hành,10000000.0,77386.0,,12.5
1759,GLT.BOND01.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1760,GLT.BOND02.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1761,GLT.BOND03.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1762,GLT.BOND04.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1763,GLT.BOND05.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1764,GLT.BOND06.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1765,GLT.BOND07.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1766,GLT.BOND08.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1767,GLT.BOND09.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1768,GLT.BOND1.2018,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"1,000,000,000",3 Năm,,29/12/2018,29/12/2021,Định kỳ - Cuối kỳ,6 Tháng,550,0,Công ty Cổ phần Chứng khoán OCBS,10.3,,,,,,,,Hết lưu hành,1000000000.0,550.0,0.0,10.3
1769,GLT.BOND10.2020,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,03/08/2020,03/08/2023,Định kỳ - Cuối kỳ,6 Tháng,"500,000",0,Công ty Cổ phần Chứng khoán OCBS,10.5,,,,,,,,Hết lưu hành,100000.0,500000.0,0.0,10.5
1770,GLTCH2124001,VNĐ,CTCP ĐẦU TƯ VÀ KINH DOANH GOLF LONG THÀNH,"100,000",3 Năm,,21/12/2021,21/12/2024,Định kỳ - Cuối kỳ,6 Tháng,"10,000,000",0,Tổng công ty Lưu ký và Bù trừ Chứng khoán Việt Nam,9.5,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,100000.0,10000000.0,0.0,9.5
1771,GLXCH2123001,VNĐ,Tập đoàn Geleximco - Công ty CP,"10,000,000",2 Năm,,10/11/2021,10/11/2023,Định kỳ - Cuối kỳ,6 Tháng,"100,000",0,Công ty Cổ phần Chứng khoán An Bình,9.5,Cá nhân chuyên nghiệp; Tổ chức chuyên nghiệp,,,,,,,Hết lưu hành,10000000.0,100000.0,0.0,9.5
