article_id,ngay_dang_tin,nguon,tieu_de,tinh_trang
1181,13/10/2025,Sở Giao dịch Chứng khoán Hà Nội,Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu RHGCH2124006,Hiệu lực
1182,13/10/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Everest (EVS) với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu CLACH2125002,Hiệu lực
1161,08/10/2025,Sở Giao dịch Chứng khoán Hà Nội,BẢN TIN THỊ TRƯỜNG TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ THÁNG 9/2025,Hiệu lực
1142,02/10/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Smartmind, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu BGICH2125004",Hiệu lực
1141,01/10/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Everest (EVS) với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu CLACH2125002,Hiệu lực
1121,26/09/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty Cổ phần Chứng khoán VNDIRECT, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu CRB12501",Hiệu lực
1101,23/09/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Everest (EVS) với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu CLACH2125002,Hiệu lực
1081,17/09/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Smartmind, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu BGICH2125003",Hiệu lực
1061,16/09/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Tân Việt với tư cách là Đại lý Đăng ký, Lưu ký, Đại lý thanh toán và đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu SSHCH 2123001",Hiệu lực
1042,12/09/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Smartmind, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu BGICH2125004",Hiệu lực
1041,12/09/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Smartmind, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu SHJCH2126003, XDCCH2124001, XDCCH2125002, XDCCH2126003",Hiệu lực
1021,11/09/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 08/2025,Hiệu lực
1001,28/08/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Smartmind, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu BIGCH212504, SHJCH2126003, XDCCH2124001, XDCCH2125002, XDCCH2126003",Hiệu lực
981,22/08/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán Smartmind, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu BIGCH2125003",Hiệu lực
961,12/08/2025,Sở Giao dịch Chứng khoán Hà Nội,"Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT, với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Tổ chức phát hành mã trái phiếu DTPCB2427001",Hiệu lực
941,06/08/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 07/2025,Hiệu lực
