article_id,ngay_dang_tin,ten_dn,ma_tp,tieu_de,ghi_chu,tinh_trang,loai_su_kien
24255,11/03/2025,CTCP Hưng Thịnh Land,HTL-H2023-004,"CTCP Hưng Thịnh Land CBTT về tình hình thanh toán gốc, lãi trái phiếu HTL-H2023-004",,Hiệu lực,
24256,11/03/2025,CTCP Hưng Thịnh Land,HTLAND.2020.TV01,"CTCP Hưng Thịnh Land CBTT về tình hình thanh toán gốc, lãi trái phiếu HTLAND.2020.TV01",,Hiệu lực,
24257,11/03/2025,CTCP Hưng Thịnh Land,H79CH2124017,"CTCP Hưng Thịnh Land CBTT về tình hình thanh toán gốc, lãi trái phiếu H79CH2124017",,Hiệu lực,
24258,11/03/2025,CTCP Hưng Thịnh Land,H79CH2124001,"CTCP Hưng Thịnh Land CBTT về tình hình thanh toán gốc, lãi trái phiếu H79CH2124001",,Hiệu lực,
24259,11/03/2025,CTCP Hưng Thịnh Land,H79CH2123021,"CTCP Hưng Thịnh Land CBTT về tình hình thanh toán gốc, lãi trái phiếu H79CH2123021",,Hiệu lực,
24260,11/03/2025,CTCP Hưng Thịnh Land,H79CH2123002,"CTCP Hưng Thịnh Land CBTT về tình hình thanh toán gốc, lãi trái phiếu H79CH2123002",,Hiệu lực,
24188,11/03/2025,CÔNG TY CP PHÁT TRIỂN NHÀ BÀ RỊA- VŨNG TÀU,HDCH2224002,Báo cáo vể tình hình thanh toán gốc lãi trái phiếu theo Thông tư số 76/2024/TT-BTC ngày 06 tháng 11 năm 2024,,Hiệu lực,
24234,11/03/2025,CTCP SẢN XUẤT VÀ KINH DOANH VINFAST,"VIFCB2325001,VIFCB2325002,VIFCB2325003",Công bố thông tin về tình hình thanh toán gốc lãi,,Hiệu lực,
24226,11/03/2025,CÔNG TY CỔ PHẦN HÀNG KHÔNG VIETJET,VJCH2124007,Công bố thông tin về tình hình thanh toán gốc mã trái phiếu VJCH2124007,,Hiệu lực,
24148,06/03/2025,NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDB1924_07,"Ngân Hàng TMCP Phát Triển TP.HCM - Báo cáo hoàn thành việc thanh toán gốc, lãi trái phiếu tại ngày đáo hạn (mã TP: HDB1924_07)",,Hiệu lực,tat_toan
24136,04/03/2025,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVLH2123011,"Công bố thông tin về tình hình thanh toán gốc, lãi mã Trái phiếu NVLH2123011 ngày 03/03/2025",,Hiệu lực,
24122,03/03/2025,CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI VKT - HÒA AN,VKTCH2132001,Công bố thông tin khác về việc thực hiện quyền bán lại và nhận lãi mã trái phiếu VKTCH2132001,,Hiệu lực,ban_lai
24084,03/03/2025,CTCP Tập đoàn Đầu tư I.P.A,IPAH2225001,"Công bố thông tin về tình hình thanh toán gốc, lãi trái phiếu",,Hiệu lực,
24036,28/02/2025,CTCP CÔNG TRÌNH GIAO THÔNG ĐỒNG NAI,DGTH2224001,NQ HĐQT vv Xin ý kiến trái chủ bằng văn bản về việc gia hạn thời hạn trả Lãi Trái Phiếu kỳ 9,,Hiệu lực,xin_y_kien
23968,21/02/2025,Công ty Cổ phần Xây lắp Sunshine E&C,SECCH2224001,Công ty CP Xây lắp Sunshine E&C v/v: Công bố thông tin về tình hình thanh toán bổ sung gốc lãi,,Hiệu lực,tt_bo_sung
23921,19/02/2025,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVLH2224005,CTCP Tập đoàn Đầu tư Địa ốc Nova CBTT bất thường - về việc: Thanh toán một phần gốc trái phiếu cho mã NVLH22224005,,Hiệu lực,
23904,18/02/2025,Công ty cổ phần Đầu tư Ngành nước DNP,DPWCB2324001,CTCP Đầu tư Ngành nước DNP báo cáo về việc thanh toán gốc lãi trái phiếu tại ngày đáo hạn,,Hiệu lực,
23908,18/02/2025,CTCP LAVIDA INVEST,LVDCH2123001,Hoàn thành nghĩa vụ thanh toán trái phiếu mã LVDCH2123001,,Hiệu lực,
23858,18/02/2025,CTCP KINH DOANH NHÀ SUNSHINE,SHJCH2124001,Công ty cổ phần Kinh doanh Nhà Sunshine: CBTT về tình hình thanh toán bổ sung,,Hiệu lực,tt_bo_sung
23898,17/02/2025,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVLH2123009,"CÔNG TY CỔ PHẦN TẬP ĐOÀN ĐẦU TƯ ĐỊA ỐC NO VA CBTT bất thường - về việc: Công bố thông tin bất thường về việc thanh toán gốc, lãi của mã trái phiếu NVLH2123009",,Hiệu lực,
23840,14/02/2025,CTCP SUNSHINE MARINA NHA TRANG,SMNCH2123001,CÔNG TY CỔ PHẦN SUNSHINE MARINA NHA TRANG – CBTT về tình hình thanh toán bổ sung,,Hiệu lực,tt_bo_sung
23805,12/02/2025,Công ty cổ phần kinh doanh F88,F88CH2425002,"Công bố thông tin về tình hình thanh toán gốc, lãi",,Hiệu lực,
23811,12/02/2025,Công ty Cổ phần Sunshine Rental (Tên cũ: CTCP Đầu tư Kinh doanh Bất động sản S-Homes),SSHCH2123002,"CTCP Đầu tư Kinh doanh Bất động sản S-Homes - Công bố thông tin về tình hình thanh toán bổ sung gốc, lãi",,Hiệu lực,tt_bo_sung
23675,05/02/2025,Công ty Cổ phần Chứng khoán Châu Á Thái Bình Dương,"APSH2225002,APSH2225001","Công ty CP Chứng khoán Châu Á Thái Bình Dương - Báo cáo hoàn thành việc thanh toán gốc, lãi trái phiếu tại ngày đáo hạn",,Hiệu lực,tat_toan
23650,05/02/2025,Công ty Cổ phần Xây lắp Sunshine E&C,SECCH2224001,CTCP Xây lắp Sunshine E&C - Công bố thông tin thanh toán bổ sung gốc lãi,,Hiệu lực,tt_bo_sung
23626,05/02/2025,CT TNHH ĐẦU TƯ VÀ BẤT ĐỘNG SẢN NGỌC MINH,NGOCMINH2019,"Công bố thông tin về tình hình thanh toán gốc, lãi",,Hiệu lực,
23676,04/02/2025,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVLH2123007,CTCP Tập đoàn Đầu tư Địa ốc Nova CBTT bất thường - về việc: Thanh toán một phần gốc trái phiếu cho mã NVLH2123007,,Hiệu lực,
23649,04/02/2025,Công ty Cổ phần Sunshine Rental (Tên cũ: CTCP Đầu tư Kinh doanh Bất động sản S-Homes),SSHCH2123002,CTCP Đầu tư kinh doanh Bất động sản S-Homes- Công bố thông tin về tình hình thanh toán bổ sung gốc lãi,,Hiệu lực,tt_bo_sung
23625,24/01/2025,CTCP SUNSHINE MARINA NHA TRANG,SMNCH2123001,CÔNG TY CỔ PHẦN SUNSHINE MARINA NHA TRANG – CBTT về tình hình thanh toán bổ sung,,Hiệu lực,tt_bo_sung
23591,22/01/2025,TẬP ĐOÀN ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP BECAMEX-CTCP (tên cũ: TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,BCMH2328001,Tổng công ty Đầu tư và Phát triển Công nghiệp-CTCP - Đính chính thông tin tình hình sử dụng vốn trái phiếu BCMH2328001,,Hiệu lực,
23549,20/01/2025,CÔNG TY CỔ PHẦN TV - TM - DV ĐỊA ỐC HOÀNG QUÂN MÊKÔNG,HQMCH2328001,"Công bố thông tin về việc chậm thanh toán gốc, lãi trái phiếu",,Hiệu lực,
23555,20/01/2025,Công ty TNHH Đầu tư Big Gain,BGICH2124002,Công ty TNHH Đầu tư Big Gain - CBTT tình hình thanh toán bổ sung gốc sau khi chậm thanh toán,,Hiệu lực,khac_phuc
23521,17/01/2025,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDL2224027,"Công bố thông tin về tình hình thanh toán gốc, lãi trái phiếu doanh nghiệp riêng lẻ tại ngày đáo hạn",,Hiệu lực,
23524,17/01/2025,Công ty Cổ phần Sunshine Rental (Tên cũ: CTCP Đầu tư Kinh doanh Bất động sản S-Homes),SSHCH2123002,"CTCP Đầu tư Kinh doanh Bất động sản S-Homes - Báo cáo về tình hình thanh toán bổ sung gốc, lãi",,Hiệu lực,tt_bo_sung
23317,14/01/2025,Công ty cổ phần kinh doanh F88,"F88CH2324003,F88CH2425006","Công bố thông tin về tình hình thanh toán gốc, lãi",,Hiệu lực,
23281,10/01/2025,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVLH2123006,CTCP Tập đoàn Đầu tư Địa ốc Nova CBTT bất thường - về việc: Thanh toán một phần gốc trái phiếu cho mã NVLH2123006,,Hiệu lực,
23243,09/01/2025,Công ty Cổ phần Sunshine Rental (Tên cũ: CTCP Đầu tư Kinh doanh Bất động sản S-Homes),SSHCH2123001,"CTCP Đầu tư Kinh doanh Bất động sản S-Homes - Báo cáo về cập nhật thanh toán bổ sung gốc, lãi trái phiếu sau khi chậm thanh toán",,Hiệu lực,khac_phuc
23022,07/01/2025,CTCP ĐẦU TƯ VÀ XÂY DỰNG SUNRISE VIỆT NAM,SRSCH2124002,"CBTT về việc hoàn thành thanh toán gốc, lãi trái phiếu tại ngày đáo hạn theo Thông tư 76",,Hiệu lực,tat_toan
23019,06/01/2025,CTCP SẢN XUẤT VÀ KINH DOANH VINFAST,"VIFCB2124004,VIFCB2124003","Công bố thông tin về tình hình thanh toán gốc, lãi tại ngày đáo hạn",,Hiệu lực,
23005,03/01/2025,CTCP Tập đoàn tư vấn đầu tư xây dựng Kiên Giang,CKGH2124001,"Báo cáo về hoàn thành việc thanh toán gốc, lãi trái phiếu CKGH2124001",,Hiệu lực,tat_toan
22955,03/01/2025,Công ty cổ phần Hoàng Anh Gia Lai,HAGLBOND16.26,Báo cáo vv thanh toán bổ sung thêm một phần gốc trái phiếu tại ngày 31.12.2024,,Hiệu lực,tt_bo_sung
22921,03/01/2025,Công ty cổ phần Hoàng Anh Gia Lai,HAGLBOND16.26,Báo cáo cập nhật về việc thanh toán bổ sung một phần gốc trái phiếu,,Hiệu lực,tt_bo_sung
22966,03/01/2025,Công ty Cổ phần ADEC,ADECH2123001,"Công bố thông tin về tình hình thanh toán gốc, lãi Trái phiếu đến hạn thanh toán",,Hiệu lực,
22946,31/12/2024,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,VCB_BOND_RL06_2018_24,"CBTT về việc hoàn thành thanh toán gốc, lãi trái phiếu tại ngày đáo hạn theo Thông tư 76",,Hiệu lực,tat_toan
22905,27/12/2024,NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,"VCB_BOND_RL6_2018_8,VCB_BOND_RL06_2018_23",Công bố thông tin về tình hình hoàn thành thanh toán gốc lãi trái phiếu đáo hạn theo Thông tư 76,,Hiệu lực,tat_toan
