article_id,ngay_dang_tin,ten_dn,ma_tp,tieu_de,ghi_chu,tinh_trang,file_id,loai_su_kien
22165,04/11/2024,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC MAI VIÊN,MVJCH2124001,CÔNG TY CỔ PHẦN ĐẦU TƯ ĐỊA ỐC MAI VIÊN CBTT bất thường - về việc: Thanh toán một phần gốc lãi mã trái phiếu MVJCH2124001,,Hiệu lực,22165.0,
22147,04/11/2024,CTCP Tư vấn Đầu tư và Kỹ thuật Mê Kông,MEKONG.BOND.2019,CTCP Tư vấn Đầu tư và Kỹ thuật Mê Kông CBTT bất thường - về việc: công bố thông tin quyết định xử phạt vi phạm hành chính,,Hiệu lực,22147.0,
22109,01/11/2024,CTCP BB Power Holdings,BBP.H.20.23.001,CTCP BB Power Holdings CBTT bất thường - về việc: Gia hạn thời gian mua lại trước hạn trái phiếu,,Hiệu lực,22109.0,gia_han
22110,31/10/2024,CTCP ĐẦU TƯ NĂNG LƯỢNG HOÀNG SƠN,HSC.H.20.23.001,CTCP ĐẦU TƯ NĂNG LƯỢNG HOÀNG SƠN CBTT bất thường - về việc: Gia hạn thời gian mua lại gốc trái phiếu,,Hiệu lực,22110.0,gia_han
22108,31/10/2024,Công ty TNHH Đầu tư Bất động sản Du lịch Hoàng Trường,HTCH2024001,Công ty TNHH Đầu tư Bất động sản Du lịch Hoàng Trường CBTT bất thường - về việc: trái phiếu HTCH2024001 gia hạn kỳ hạn trái phiếu,,Hiệu lực,22108.0,gia_han
22079,30/10/2024,CÔNG TY TNHH NO VA THẢO ĐIỀN,NTDCH2227001,"CÔNG TY TNHH NO VA THẢO ĐIỀN CBTT bất thường - về việc: Công bố thông tin bất thường về việc thanh toán gốc, lãi của mã trái phiếu NTDCH2227001",,Hiệu lực,22079.0,
22086,30/10/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.11.2019.07,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22086.0,gia_han
22085,30/10/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.11.2019.10,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22085.0,gia_han
22083,30/10/2024,Công ty CP Vinam Land,VNLCH2329001,Công ty CP Vinam Land CBTT bất thường - về việc: Công bố quyết định xử phạt vi phạm hành chính,,Hiệu lực,22083.0,
22074,29/10/2024,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ KỸ THUẬT NỘI BÀI,ATSCH2131001,CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ KỸ THUẬT NỘI BÀI CBTT bất thường - về việc: về việc điều chỉnh điều khoản và điều kiện trái phiếu mã ATSCH2131001,,Hiệu lực,22074.0,
22031,28/10/2024,Công ty Cổ phần BB Sunrise Power,BBSP.H.20.23.001,Công ty Cổ phần BB Sunrise Power CBTT bất thường - về việc: Xử phạt hành chính,,Hiệu lực,22031.0,
22067,28/10/2024,CTCP đầu tư và dịch vụ HELIOS,HELIOS.BOND.01.2019.1000(2),CTCP đầu tư và dịch vụ HELIOS CBTT bất thường - về việc:Nghị quyết người sở hữu Trái Phiếu HELIOS.BOND.01.2019.1000(2),,Hiệu lực,22067.0,
22066,28/10/2024,CTCP đầu tư và dịch vụ HELIOS,HELIOS.BOND.01.2019.1000(1),CTCP đầu tư và dịch vụ HELIOS CBTT bất thường - về việc:Nghị quyết người sở hữu Trái Phiếu HELIOS.BOND.01.2019.1000(1),,Hiệu lực,22066.0,
22065,28/10/2024,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,NVLH2123007,CTCP Tập đoàn Đầu tư Địa ốc Nova CBTT bất thường - về việc: Thanh toán một phần gốc trái phiếu cho mã NVLH2123007,,Hiệu lực,22065.0,
22060,28/10/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.11.2019.09,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22060.0,gia_han
22058,28/10/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.11.2019.06,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22058.0,gia_han
22057,28/10/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.11.2019.05,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc:Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22057.0,gia_han
22056,28/10/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.11.2019.03,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc:Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22056.0,gia_han
22055,28/10/2024,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam,TNR.BOND.11.2019.08,Công ty cổ phần đầu tư phát triển bất động sản TNR holdings Việt Nam CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc làm rõ thêm thông tin lãi suất trái phiếu,,Hiệu lực,22055.0,
