code,name,shortName,organCode,floor,comTypeCode,isBank,icb1_code,icb1_name,icb2_code,icb2_name,icb3_code,icb3_name,icb4_code,icb4_name
STK,Công ty Cổ phần Sợi Thế Kỷ,Sợi Thế Kỷ,CENTURY,HOSE,CT,False,3000,Hàng Tiêu dùng,3700,Hàng cá nhân & Gia dụng,3760,Hàng cá nhân,3763,Hàng May mặc
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Nhà Khang Điền,KDH,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
NLG,Công ty Cổ phần Đầu tư Nam Long,BĐS Nam Long,NLG,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Vận tải Dầu khí PVTrans,PVT,HOSE,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2773,Vận tải Thủy
GEX,Công ty Cổ phần Tập đoàn Gelex,Tập đoàn Gelex,GELEX,HOSE,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2730,Điện tử & Thiết bị điện,2737,Thiết bị điện
HDC,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,Phát triển Nhà Bà Rịa Vũng Tàu,HDC,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,DVKT Dầu khí PTSC,PVS,HNX,CT,False,0001,Dầu khí,0500,Dầu khí,0570,"Thiết bị, Dịch vụ và Phân phối Dầu khí",0573,Thiết bị và Dịch vụ Dầu khí
PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Hóa dầu Petrolimex,PLC,HNX,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
HDG,Công ty Cổ phần Tập đoàn Hà Đô,Tập đoàn Hà Đô,HDG,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,Tập đoàn Đạt Phương,DATPHUONG,HOSE,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
BMI,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm Bảo Minh,BMI,HOSE,BH,False,8000,Tài chính,8500,Bảo hiểm,8530,Bảo hiểm phi nhân thọ,8536,Bảo hiểm phi nhân thọ
VGC,Tổng Công ty Viglacera - Công ty Cổ phần,Tổng Công ty Viglacera,VGC,HOSE,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2353,Vật liệu xây dựng & Nội thất
DCM,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,Đạm Cà Mau,DCM,HOSE,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Hòa Phát,HPG,HOSE,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1750,Kim loại,1757,Thép và sản phẩm thép
HVN,Tổng Công ty Hàng không Việt Nam - CTCP,Vietnam Airlines,VNAIR,HOSE,CT,False,5000,Dịch vụ Tiêu dùng,5700,Du lịch và Giải trí,5750,Du lịch & Giải trí,5751,Hàng không
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ FPT,FPTR,HOSE,CT,False,5000,Dịch vụ Tiêu dùng,5300,Bán lẻ,5370,Bán lẻ,5379,Phân phối hàng chuyên dụng
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,VietinBank,CTG,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
MBB,Ngân hàng Thương mại Cổ phần Quân đội,MBBank,MBB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
MSN,Công ty Cổ phần Tập đoàn Masan,Tập đoàn Masan,MSN,HOSE,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3570,Sản xuất thực phẩm,3577,Thực phẩm
IDC,Tổng Công ty IDICO - CTCP,IDICO,IDICO,HNX,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
PTB,Công ty Cổ phần Phú Tài,Công ty Cổ phần Phú Tài,PTB,HOSE,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1730,Lâm nghiệp và Giấy,1733,Lâm sản và Chế biến gỗ
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,TCT Đô thị Kinh Bắc,KBC,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,VPBank,VPB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
DXG,Công ty Cổ phần Bluemarq Group,Bluemarq Group,DXG,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
VTP,Tổng Công ty Cổ phần Bưu chính Viettel,Bưu chính Viettel,VTPO,HOSE,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2771,Chuyển phát nhanh
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Đầu tư Sài Gòn VRG,SGVRG,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
VRE,Công ty Cổ phần Vincom Retail,Vincom Retail,VRJSC,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Novaland,NOVALAND,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
REE,Công ty Cổ phần Cơ điện Lạnh,Cơ Điện Lạnh REE,REE,HOSE,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7530,Sản xuất & Phân phối Điện,7535,Sản xuất & Phân phối Điện
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Dịch vụ BĐS Đất Xanh,DXRES,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8637,"Tư Vấn, Định giá, Môi giới Bất động sản"
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Techcombank,TCB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
ACG,Công ty Cổ phần Gỗ An Cường,Gỗ An Cường,ANCUONGWOOD,HOSE,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1730,Lâm nghiệp và Giấy,1733,Lâm sản và Chế biến gỗ
PHR,Công ty Cổ phần Cao su Phước Hòa,Cao su Phước Hòa,PHR,HOSE,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1353,"Nhựa, cao su & sợi"
CTR,Tổng Công ty Cổ phần Công trình Viettel,Công trình Viettel,CTR,HOSE,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
FPT,Công ty Cổ phần FPT,FPT Corp,FPT,HOSE,CT,False,9000,Công nghệ Thông tin,9500,Công nghệ Thông tin,9530,Phần mềm & Dịch vụ Máy tính,9537,Phần mềm
BVH,Tập đoàn Bảo Việt,Tập đoàn Bảo Việt,BVH,HOSE,BH,False,8000,Tài chính,8500,Bảo hiểm,8570,Bảo hiểm nhân thọ,8575,Bảo hiểm nhân thọ
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Vietcombank,VCB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,PV Gas,GAS,HOSE,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7573,Phân phối xăng dầu & khí đốt
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,BIDV,BID,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
SSI,Công ty Cổ phần Chứng khoán SSI,Chứng khoán SSI,SSI,HOSE,CK,False,8000,Tài chính,8700,Dịch vụ tài chính,8770,Dịch vụ tài chính,8777,Môi giới chứng khoán
DHC,Công ty Cổ phần Đông Hải Bến Tre,Đông Hải Bến Tre,DHC,HOSE,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1730,Lâm nghiệp và Giấy,1737,Sản xuất giấy
F88,Công ty Cổ phần Đầu tư F88,Đầu tư F88,2600948135,UPCOM,CT,False,8000,Tài chính,8700,Dịch vụ tài chính,8770,Dịch vụ tài chính,8773,Tài chính cá nhân
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Thế giới di động,MWG,HOSE,CT,False,5000,Dịch vụ Tiêu dùng,5300,Bán lẻ,5370,Bán lẻ,5379,Phân phối hàng chuyên dụng
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Điện lực Dầu khí Việt Nam,PVPOWER,HOSE,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7530,Sản xuất & Phân phối Điện,7535,Sản xuất & Phân phối Điện
NT2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Điện lực Nhơn Trạch 2,NT2,HOSE,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7530,Sản xuất & Phân phối Điện,7535,Sản xuất & Phân phối Điện
TLG,Công ty Cổ phần Tập đoàn Thiên Long,Tập đoàn Thiên Long,TLG,HOSE,CT,False,3000,Hàng Tiêu dùng,3700,Hàng cá nhân & Gia dụng,3720,Hàng gia dụng,3724,Đồ gia dụng một lần
MCH,Công ty Cổ phần Hàng Tiêu Dùng MaSan,Hàng Tiêu Dùng MaSan,MSCC,HOSE,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3570,Sản xuất thực phẩm,3577,Thực phẩm
VHC,Công ty Cổ phần Vĩnh Hoàn,Thủy sản Vĩnh Hoàn,VHC,HOSE,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3570,Sản xuất thực phẩm,3573,Nuôi trồng nông & hải sản
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Khoan Dầu khí PVDrilling,PVD,HOSE,CT,False,0001,Dầu khí,0500,Dầu khí,0570,"Thiết bị, Dịch vụ và Phân phối Dầu khí",0573,Thiết bị và Dịch vụ Dầu khí
QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,Nhiệt điện Quảng Ninh,QNTPC,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7530,Sản xuất & Phân phối Điện,7535,Sản xuất & Phân phối Điện
TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Tư vấn XD Điện 2,TV2,HOSE,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2790,Tư vấn & Hỗ trợ Kinh doanh,2791,Tư vấn & Hỗ trợ KD
SZC,Công ty Cổ phần Sonadezi Châu Đức,Sonadezi Châu Đức,SIDC,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Dịch vụ Hàng không Taseco,TASECOAIRS,HOSE,CT,False,5000,Dịch vụ Tiêu dùng,5300,Bán lẻ,5370,Bán lẻ,5379,Phân phối hàng chuyên dụng
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,TPBank,TPB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
DGW,Công ty Cổ phần Thế Giới Số,Thế Giới Số,DGW,HOSE,CT,False,5000,Dịch vụ Tiêu dùng,5300,Bán lẻ,5370,Bán lẻ,5379,Phân phối hàng chuyên dụng
PLX,Tập đoàn Xăng dầu Việt Nam,Petrolimex,PETRO,HOSE,CT,False,0001,Dầu khí,0500,Dầu khí,0530,Sản xuất Dầu khí,0533,Sản xuất và Khai thác dầu khí
GMD,Công ty Cổ phần Tập đoàn Gemadept,Tập đoàn Gemadept,GMD,HOSE,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2777,"Kho bãi, hậu cần và bảo dưỡng"
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,SABECO,SBCO,HOSE,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3533,Sản xuất bia
NKG,Công ty Cổ phần Thép Nam Kim,Thép Nam Kim,NKG,HOSE,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1750,Kim loại,1757,Thép và sản phẩm thép
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Tổng Công ty Phân bón và Hóa chất Dầu khí,DPM,HOSE,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,VIBBank,VIB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,HDBank,HDB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Vàng Phú Nhuận,PNJ,HOSE,CT,False,3000,Hàng Tiêu dùng,3700,Hàng cá nhân & Gia dụng,3760,Hàng cá nhân,3767,Hàng cá nhân
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Cảng Hàng không VN,ACVN,UPCOM,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2777,"Kho bãi, hậu cần và bảo dưỡng"
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất Đức Giang,DGC,HOSE,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,Nhiệt điện Phả Lại,PPC,HOSE,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7530,Sản xuất & Phân phối Điện,7535,Sản xuất & Phân phối Điện
VNM,Công ty Cổ phần Sữa Việt Nam,VINAMILK,VNM,HOSE,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3570,Sản xuất thực phẩm,3577,Thực phẩm
PC1,Công ty Cổ phần Tập đoàn PC1,Tập đoàn PC1,PCC1,HOSE,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
ACB,Ngân hàng Thương mại Cổ phần Á Châu,ACB,ACB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Tập đoàn CN Cao su VN,VNRG,HOSE,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1353,"Nhựa, cao su & sợi"
BSR,Công ty Cổ phần - Tổng Công ty Lọc Hoá dầu Việt Nam,Lọc Hoá dầu Việt Nam,BSRC,HOSE,CT,False,0001,Dầu khí,0500,Dầu khí,0530,Sản xuất Dầu khí,0533,Sản xuất và Khai thác dầu khí
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Nước - Môi trường Bình Dương,BIWASE,HOSE,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
VHM,Công ty Cổ phần Vinhomes,Vinhomes,NHN,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
QNS,Công ty Cổ phần Đường Quảng Ngãi,Đường Quảng Ngãi,QNSC,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3570,Sản xuất thực phẩm,3577,Thực phẩm
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,DV Hàng hóa Sài Gòn,SCSC,HOSE,CT,False,5000,Dịch vụ Tiêu dùng,5700,Du lịch và Giải trí,5750,Du lịch & Giải trí,5751,Hàng không
BMP,Công ty Cổ phần Nhựa Bình Minh,Nhựa Bình Minh,BMP,HOSE,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2353,Vật liệu xây dựng & Nội thất
TDM,Công ty Cổ phần Nước Thủ Dầu Một,Nước Thủ Dầu Một,TDMWATER,HOSE,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Tài Lộc,NH Sài Gòn Tài Lộc (SACOMBANK),STB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
HSG,Công ty Cổ phần Tập đoàn Hoa Sen,Tập đoàn Hoa Sen,HSG,HOSE,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1750,Kim loại,1757,Thép và sản phẩm thép
OIL,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,PV Oil,PVOIL,UPCOM,CT,False,0001,Dầu khí,0500,Dầu khí,0530,Sản xuất Dầu khí,0533,Sản xuất và Khai thác dầu khí
VEA,Tổng Công ty Máy động lực và Máy nông nghiệp Việt Nam - CTCP,Máy động lực và Máy NN,VEAM,UPCOM,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2750,Công nghiệp nặng,2757,Máy công nghiệp
VJC,Công ty Cổ phần Hàng không Vietjet,Vietjet Air,VIETJET,HOSE,CT,False,5000,Dịch vụ Tiêu dùng,5700,Du lịch và Giải trí,5750,Du lịch & Giải trí,5751,Hàng không
LPB,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,LPBank,LVB,HOSE,NH,True,8301,Ngân hàng,8300,Ngân hàng,8350,Ngân hàng,8355,Ngân hàng
VIC,Tập đoàn Vingroup - Công ty CP,VinGroup,VIC,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
KSS,Tổng Công ty Cổ phần Khoáng sản Na Rì Hamico,Na Rì Hamico,KSS,OTC,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1770,Khai khoáng,1775,Khai khoáng
KNA,Công ty Cổ phần Khoáng sản Nghệ An,Khoáng sản Nghệ An,NAMCO,UPCOM,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1770,Khai khoáng,1775,Khai khoáng
MDD,Công ty Cổ phần Mai Động,Công ty Mai Động,MAIDONG,HNX,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2750,Công nghiệp nặng,2757,Máy công nghiệp
LTQ,Công ty TNHH MTV Lâm nghiệp Nguyễn Văn Trỗi,Lâm nghiệp Nguyễn Văn Trỗi,NVTFC,UPCOM,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1730,Lâm nghiệp và Giấy,1733,Lâm sản và Chế biến gỗ
KSF,Công ty Cổ phần Tập đoàn Sunshine,Tập đoàn Sunshine,PTCOIN,HNX,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
PBK,Công ty Cổ phần Điện lực Dầu khí Bắc Kạn,Điện lực Dầu khí Bắc Kạn,PVBACKAN,OTC,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7530,Sản xuất & Phân phối Điện,7535,Sản xuất & Phân phối Điện
PXK,Công ty Cổ phần Đầu tư và Xây lắp dầu khí Kinh Bắc,XL dầu khí Kinh Bắc,PVCKB,HNX,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
PTN,Công ty Cổ phần Phát triển Nhà Khánh Hòa,Phát triển Nhà Khánh Hòa,PTNKH,OTC,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
REN,Công ty Cổ phần Xây dựng và Đầu tư Khu du lịch Sinh Thái,XD và ĐT Khu du lịch Sinh Thái,REN,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
RRC,Công ty Cổ phần Than Sông Hồng,Than Sông Hồng,RRC,OTC,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1770,Khai khoáng,1771,Khai thác Than
SAD,Công ty Cổ phần Phát triển Sản xuất Thương mại Sài Gòn,SX TM Sài Gòn,SADACO,OTC,CT,False,5000,Dịch vụ Tiêu dùng,5300,Bán lẻ,5370,Bán lẻ,5373,Bán lẻ phức hợp
SST,Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,TM Sabeco Sông Tiền,SBST,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3533,Sản xuất bia
GEM,Công ty Cổ phần Vật tư Tổng hợp Thành phố Hồ Chí Minh,Vật tư Tổng hợp TP HCM,GEM,OTC,CT,False,5000,Dịch vụ Tiêu dùng,5300,Bán lẻ,5370,Bán lẻ,5379,Phân phối hàng chuyên dụng
GH3,Công ty Cổ phần Công trình giao thông Hà Nội,Công trình giao thông Hà Nội,HATOS,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
NO1,Công ty Cổ phần Tâp đoàn 911,Tâp đoàn 911,12215,HOSE,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2750,Công nghiệp nặng,2757,Máy công nghiệp
HWI,Công ty Cổ phần Đầu tư Xây dựng hạ tầng nước sạch Hà Nội,Đầu tư XD hạ tầng nước sạch Hà Nội,HWI,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
CAF,Công ty Cổ phần Xuất nhập khẩu Nông Sản Thực Phẩm Cà Mau,Xuất nhập khẩu Nông Sản Thực Phẩm Cà Mau,AGRIMEX,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3570,Sản xuất thực phẩm,3573,Nuôi trồng nông & hải sản
BCH,Công ty Cổ phần Tập đoàn Dược Bảo Châu,Dược Bảo Châu,BAOCHAUPHAR,HNX,CT,False,4000,Dược phẩm và Y tế,4500,Y tế,4570,Dược phẩm,4577,Dược phẩm
HT9,Công ty Cổ phần Phát triển hạ tầng 319,Phát triển hạ tầng 319,HT9,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
HTS,Công ty Cổ phần Thép Hương Thịnh,Thép Hương Thịnh,HTSC,UPCOM,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1750,Kim loại,1757,Thép và sản phẩm thép
DMH,Công ty Cổ phần Dược Minh Hải,Dược Minh Hải,MIPHARM,UPCOM,CT,False,4000,Dược phẩm và Y tế,4500,Y tế,4570,Dược phẩm,4577,Dược phẩm
SZG,Công ty Cổ phần Sonadezi Giang Điền,Sonadezi Giang Điền,SONADEZIGD,UPCOM,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
TBW,Công ty cổ phần Nước sạch Thái Bình,Nước sạch Thái Bình,TBWATER,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
TED,Tổng Công ty Tư vấn Thiết kế Giao thông Vận tải - CTCP,Thiết kế GTVT,TEDIN,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
TBH,Công ty Cổ phần Tổng Bách Hóa,Tổng Bách Hóa,TBHC,OTC,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2777,"Kho bãi, hậu cần và bảo dưỡng"
THO,Công ty Cổ phần Đầu Tư và Xây Lắp Tây Hồ,Xây Lắp Tây Hồ,THQP,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
STD,Công ty Cổ phần Bia - Nước giải khát Sài Gòn - Tây Đô,Bia - NGK Sài Gòn - Tây Đô,TDBECO,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3533,Sản xuất bia
TCP,Công ty Cổ phần Kinh doanh Than Cẩm Phả - Vinacomin,Than Cẩm Phả - Vinacomin,THANCAMPHA,UPCOM,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1770,Khai khoáng,1771,Khai thác Than
TDI,Công ty Cổ phần Tập đoàn TDI,Tập đoàn TDI,THANHDOANCORP,OTC,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
DTH,Công ty Cổ phần Dược - Vật tư Y tế Thanh Hóa,Vật tư Y tế Thanh Hóa,THEPHA,UPCOM,CT,False,4000,Dược phẩm và Y tế,4500,Y tế,4530,Thiết bị và Dịch vụ Y tế,4535,Thiết bị y tế
GDA,Công ty Cổ phần Tôn Đông Á,Tôn Đông Á,TONDA,UPCOM,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1750,Kim loại,1757,Thép và sản phẩm thép
DVM,Công ty Cổ phần Dược liệu Việt Nam,Dược liệu Việt Nam,VIETMEC,HNX,CT,False,4000,Dược phẩm và Y tế,4500,Y tế,4570,Dược phẩm,4577,Dược phẩm
GTM,Công ty Cổ phần Tập đoàn Tân Mai,Tập đoàn Tân Mai,TMPC,OTC,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1730,Lâm nghiệp và Giấy,1737,Sản xuất giấy
VUA,Công ty Cổ phần Chứng khoán Stanley Brothers,Chứng khoán Stanley Brothers,VGSC,UPCOM,CK,False,8000,Tài chính,8700,Dịch vụ tài chính,8770,Dịch vụ tài chính,8777,Môi giới chứng khoán
VMT,Công ty Cổ phần Giao nhận Vận tải Miền Trung,Giao nhận Vận tải Miền Trung,VINATRANSDN,UPCOM,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2779,Dịch vụ vận tải
DDB,Công ty Cổ Phần Thương Mại Và Xây Dựng Đông Dương,TM & XD Đông Dương,0101264009,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2353,Vật liệu xây dựng & Nội thất
