code,name,shortName,organCode,floor,comTypeCode,isBank,icb1_code,icb1_name,icb2_code,icb2_name,icb3_code,icb3_name,icb4_code,icb4_name
MQB,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Môi trường và PT đô thị Quảng Bình,MQB,UPCOM,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2790,Tư vấn & Hỗ trợ Kinh doanh,2799,Chất thải & Môi trường
POB,Công ty Cổ phần Xăng dầu Dầu khí Hưng Yên,PVOIL Hưng Yên,POB,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7573,Phân phối xăng dầu & khí đốt
SCY,Công ty Cổ phần Đóng tàu Sông Cấm,Đóng tàu Sông Cấm,SCY,OTC,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2750,Công nghiệp nặng,2753,Xe tải & Đóng tàu
SUM,Công ty Cổ phần Đo đạc và Khoáng sản,Đo đạc và Khoáng sản,SUM,OTC,CT,False,5000,Dịch vụ Tiêu dùng,5500,Truyền thông,5550,Truyền thông,5557,"Sách, ấn bản & sản phẩm văn hóa"
VPG,Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát,Đầu tư TMại XNK Việt Phát,VPG,HOSE,CT,False,1000,Nguyên vật liệu,1700,Tài nguyên Cơ bản,1770,Khai khoáng,1775,Khai khoáng
VPW,Công ty Cổ phần Cấp thoát nước số 1 Vĩnh Phúc,Cấp thoát nước số 1 Vĩnh Phúc,VPW,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
TS3,Công ty Cổ phần Trường Sơn 532,Trường Sơn 532,C532,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Đầu tư Phát triển Thành Đạt,PTTD,HNX,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
HAB,Công ty Cổ phần Sách Và Thiết Bị Trường Học Hà Nội,"Habook.,jsc",HABOOK,OTC,CT,False,5000,Dịch vụ Tiêu dùng,5500,Truyền thông,5550,Truyền thông,5557,"Sách, ấn bản & sản phẩm văn hóa"
HC1,Công ty Cổ phần Xây dựng số 1 Hà Nội,Xây dựng số 1 Hà Nội,HACC1,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
HDW,Công ty Cổ phần Kinh doanh Nước sạch Hải Dương,Nước sạch Hải Dương,HDWACO,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,Cơ giới và XL số 9 (Licogi 9),LICOGI9,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
QLD,Công ty Cổ phần Quản lý và Xây dựng Giao thông Lạng Sơn,QL và XD Giao thông Lạng Sơn,QLD,OTC,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
BTN,Công ty Cổ phần Đầu tư Bitco Bình Định,Gạch Tuy Nen Bình Định,BTN,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2353,Vật liệu xây dựng & Nội thất
HAV,Công ty Cổ phần Rượu Hapro,Rượu Hapro,HAV,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3535,Vang & Rượu mạnh
HEP,Công ty Cổ phần Môi trường và Công trình đô thị Huế,Môi trường và Công trình đô thị Huế,HEP,UPCOM,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2790,Tư vấn & Hỗ trợ Kinh doanh,2799,Chất thải & Môi trường
KOS,Công ty Cổ phần KOSY,Công ty KOSY,KOSY,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
SKV,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,NGK Yến sào Khánh Hòa,SANESTDK,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3537,Đồ uống & giải khát
TLD,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Đô thị Thăng Long,ĐT XD và PT Đô thị Thăng Long,TLDECO,HOSE,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2353,Vật liệu xây dựng & Nội thất
VXP,Công ty Cổ phần Thuốc Thú y Trung ương VETVACO,Thuốc Thú y Trung ương VETVACO,VXP,UPCOM,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
BGW,Công ty Cổ phần Nước sạch Bắc Giang,Nước sạch Bắc Giang,BGWS,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
PMW,Công ty Cổ phần Cấp Nước Phú Mỹ,Cấp Nước Phú Mỹ,PMWC,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
HRB,Công ty Cổ phần Harec Đầu tư và Thương Mại,Harec Đầu tư và Thương Mại,HRB,UPCOM,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
HNI,Công ty Cổ phần May Hữu Nghị,May Hữu Nghị,HUGA,UPCOM,CT,False,3000,Hàng Tiêu dùng,3700,Hàng cá nhân & Gia dụng,3760,Hàng cá nhân,3763,Hàng May mặc
HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế,Xây lắp Huế,TTHC,HOSE,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
HLE,Công ty Cổ phần Điện Chiếu Sáng Hải Phòng,Điện Chiếu Sáng Hải Phòng,HELICO,OTC,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
IRC,Công ty Cổ phần Cao su Công nghiệp,Cao su Công nghiệp,INRUCO,UPCOM,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1353,"Nhựa, cao su & sợi"
PLA,Công ty Cổ phần Đầu tư và Dịch vụ hạ tầng Xăng dầu,ĐT&DV Hạ tầng Xăng dầu (PLAND),PLAND,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
VPI,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Đầu tư Văn Phú - Invest,VPVICTO,HOSE,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
ILA,Công ty Cổ phần ILA,Công ty ILA,ILA,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2353,Vật liệu xây dựng & Nội thất
TA6,Công ty Cổ phần Đầu tư và Xây lắp Thành An 665,Đầu tư và Xây lắp Thành An 665,TA6,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
ASG,Công ty Cổ phần Tập đoàn ASG,Tập đoàn ASG,ASGC,HOSE,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2777,"Kho bãi, hậu cần và bảo dưỡng"
VET,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,Thuốc thú y trung ương Navetco,NAVET,UPCOM,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
DCH,Công ty Cổ phần Địa chính Hà Nội,Địa chính Hà Nội,HNCADAS,UPCOM,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8637,"Tư Vấn, Định giá, Môi giới Bất động sản"
BHK,Công ty Cổ phần Bia Hà Nội - Kim Bài,Bia Hà Nội - Kim Bài,BHK,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3533,Sản xuất bia
EPH,Công ty Cổ phần Dịch vụ Xuất bản Giáo dục Hà Nội,Xuất bản giáo dục Hà Nội,XBGDHN,OTC,CT,False,5000,Dịch vụ Tiêu dùng,5500,Truyền thông,5550,Truyền thông,5557,"Sách, ấn bản & sản phẩm văn hóa"
FHN,Công ty Cổ phần Xuất nhập khẩu Lương thực - Thực phẩm Hà Nội,XNK lương thực Hà Nội,NAMDO,UPCOM,CT,False,5000,Dịch vụ Tiêu dùng,5300,Bán lẻ,5330,Phân phối thực phẩm & dược phẩm,5337,Phân phối thực phẩm
HPH,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,Hóa Chất Hưng Phát Hà Bắc,HPH,UPCOM,CT,False,1000,Nguyên vật liệu,1300,Hóa chất,1350,Hóa chất,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
KHS,Công ty Cổ phần Kiên Hùng,Thủy sản Kiên Hùng,KIHUSEA,HNX,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3570,Sản xuất thực phẩm,3573,Nuôi trồng nông & hải sản
NRC,Công ty Cổ phần Tập đoàn Bất động sản Quốc gia,Tập đoàn Bất động sản Quốc gia,NETLAND,HNX,CT,False,8000,Tài chính,8600,Bất động sản,8630,Bất động sản,8633,Bất động sản
SON,Công ty Cổ phần Cung ứng Nhân lực Quốc tế và Thương mại,Cung ứng Nhân lực Quốc tế và Thương mại,SONAC,OTC,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2790,Tư vấn & Hỗ trợ Kinh doanh,2793,Đào tạo & Việc làm
SVH,Công ty Cổ phần Thủy điện Sông Vàng,Thủy điện Sông Vàng,SVH,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7530,Sản xuất & Phân phối Điện,7535,Sản xuất & Phân phối Điện
BBM,Công ty Cổ phần Bia Hà Nội - Nam Định,Bia Hà Nội - Nam Định,HANABECO,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3533,Sản xuất bia
BQB,Công ty Cổ phần Bia Hà Nội - Quảng Bình,Bia Hà Nội - Quảng Bình,QBBECO,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3533,Sản xuất bia
DTI,Công ty Cổ phần Đầu tư Đức Trung,Đầu tư Đức Trung,DTI,UPCOM,CT,False,5000,Dịch vụ Tiêu dùng,5700,Du lịch và Giải trí,5750,Du lịch & Giải trí,5753,Khách sạn
S72,Công ty Cổ phần Sông Đà 7.02,Sông Đà 7.02,S702,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
TA3,Công ty cổ phần Đầu tư và Xây lắp Thành An 386,ĐT và Xây lắp Thành An 386,TA3,OTC,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
PMG,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,ĐT và SX Petro Miền Trung,PMGAS,HOSE,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7573,Phân phối xăng dầu & khí đốt
BUD,Công ty Cổ phần Khoa học Công nghệ Việt Nam,Khoa học Công nghệ Việt Nam,BUSADCO,OTC,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
AG1,Công ty Cổ phần 28.1,28.1 JSC,AGTEX1,UPCOM,CT,False,3000,Hàng Tiêu dùng,3700,Hàng cá nhân & Gia dụng,3760,Hàng cá nhân,3763,Hàng May mặc
BSA,Công ty Cổ phần Thủy điện Buôn Đôn,Thủy điện Buôn Đôn,BDHC,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7530,Sản xuất & Phân phối Điện,7535,Sản xuất & Phân phối Điện
